Restaurant_Name,Ranking,Global_Ranking,Plats_Ranking,Service_Ranking,Atmosphere_Ranking,Text
Café de l'Homme,5.0,5,4,3,3,Wonderful view and great food! The atmosphere was amazing and great service. We will come again next time we are in Paris. Thank you ❤️
Café de l'Homme,5.0,5,5,5,5,"This place has an amazing view. The food is good, the service is a little slow which we did not mind because we were there for the experience. We where there at 8 pm and stay till 10:30 or so and saw the lights come on at the Eiffel Tower. They had live music and we had an awesome night!"
Café de l'Homme,1.0,1,1,1,1,"Do not go here,
Firstly they couldn’t find are reservation even tho we booked weeks in advance and replied to the numerous message they sent to confirm which triggered off the continuous hostile environment it is,
The tables are so close together you might aswell be sitting on one continuous table, no privacy or relaxation - which caused the accident of a split drink on the floor and then manager or whatever he was ,was standing there giving dirty looks talking in french then came over and complained of how much the floor cost? Then said it wasnt he fault the drink split and then continued to spray whatever the cleaning product it was right next to us as we was eating, which he ended up spraying on my shoe , then suggested I deliberately put my foot in it? Why would I do that, 
Food was awful 
Service was awful
How they got the cheek to call that a high class restaurant is beyond me, 
Would highly recommend noone to go here,"
Café de l'Homme,5.0,5,5,5,5,"Gorgeous view and delicious food. I think the terrace charge was worth it. Overall, this was a great experience and would recommend it anybody."
Café de l'Homme,1.0,1,1,4,4,"The steak was dry
Don’t order the tuna belly
But the ambience and service were good"
Café de l'Homme,1.0,1,1,1,1,Made a reservation on this app for a Monday and the restaurant is closed on Mondays. I hope I will not get charged.
Café de l'Homme,4.0,4,3,3,3,"Lindo lugar, lo mejor, las vistas a la Torre Eiffel, poder estar en la terraza en un día soledades privilegiado"
Café de l'Homme,5.0,5,5,5,5,They were great at acknowledging our special occasion. Offered us one of the best views from the restaurant. We actually had a choice between two tables. The view is truly amazing. The food was all perfectly prepared to savor all the intended chef intentions.
Café de l'Homme,1.0,1,3,1,1,"Disappointing... As a formal wine country resident, I've been a lot of semi-formal  no course meal required. I asked them for the better seat, and they told me I can have 110 euro meal seat. So I said yes. Well, it did not worth to pay a penny more for that spot. You will see why from my pics. The next problem is service. When my mom and I were hesitating to have course meal table, because of the view. I could tell one server was very annoyed. He said ""Madame, oh please, please"" What do you expect from me? when I could not get the table which I requested 5 days ahead, and confirmed 3 days ahead. Plus, when I pay more than $100, I don't expect servers to kick my chair while they are serving me. Also  my server started taking food away from me without asking. ""Well"" he asked, but his hand was on my plate already when he asked.
I honestly did not believe all the bad reviews. But here I am. People, PLEASE DON'T GO. SAVE YOUR $$$$$$$$$$$$$$"
Café de l'Homme,3.0,3,3,2,2,"The view outside of the Eiffel Tower was of course spectacular: and so close! My boyfriend ""popped the question"" that evening, and it was an unforgettable evening for us. However: the food was not adjusted to the environment: the potato flakes blew off the plates, and glasses broke around us continuously as the location can be windy and there were no wind breakers. There were heaters but it was nonetheless a bit of a challenge. We are adventurous people and appreciated the view of the Eiffel Tower, so we could not be persuaded to move back indoors for shelter. The interior of the restaurant was OK, but no view of the Eiffel Tower from inside sadly. Also: the staff was rather chaotic, we were not confident that they had things under control. And upon request to take pictures of us/film us on that unique moment of getting engaged...ALL photos were blurry and ruined....waiter: please make sure you know how to use a phone. The food was nice, but could be improved (ratio of bread and gooseliver pate, potato flakes when it's very windy outside, the food was cooled off in no time, etc.). However,this was our special night and the decor was very spectacular and overall the staff were friendly and obliging and doing their best to give us a special experience. We can laugh about it still, and will never forget this special evening for us."
